"id","label","size","density","avgDistance","diameter","youngestChild","oldestChild","AgeChildren_med","hh_size","children"
0,"10002090",13,0.192307692307692,2.24358974358974,2.6,8,8,8,3,1
1,"10002570",41,0.0560975609756098,2.48170731707317,2.9,12,17,14.5,4,2
2,"10002738",72,0.0312989045383412,2.60446009389671,3,4,7,5.5,4,2
3,"10002760",102,0.021355076684139,2.66724907784896,3,4,10,7,4,2
4,"10002861",42,0.0627177700348432,2.56329849012776,2.9,4,7,5,5,3
5,"1177291",19,0.128654970760234,2.38011695906433,2.8,5,5,5,3,1
6,"119730",58,0.0399274047186933,2.58862673926195,2.8,12,14,13,4,2
7,"120537",105,0.0206959706959707,2.64761904761905,2.9,11,12,11.5,4,2
8,"13427",42,0.0476190476190476,2.6678281068525,3.1,9,12,10.5,4,2
9,"135807",76,0.0291228070175439,2.56456140350877,2.8,12,14,13,4,2
10,"1421646",141,0.0167173252279635,2.74103343465046,3,9,13,11.5,6,4
11,"1432206",90,0.0244694132334582,2.66541822721598,2.8,6,8,7,4,2
12,"1454172",13,0.269230769230769,2.17948717948718,2.1,13,22,17.5,4,2
13,"149733",75,0.0299099099099099,2.57189189189189,2.9,2,5,3.5,4,2
14,"154610",44,0.0549682875264271,2.49154334038055,2.7,2,4,3,4,2
15,"15907",29,0.0911330049261084,2.49753694581281,2.9,12,14,13,4,2
16,"1602823",54,0.0433263452131377,2.42487770789658,2.8,4,10,7,4,2
17,"1676207",42,0.0476190476190476,2.05594405594406,3,6,6,6,3,1
18,"1759211",80,0.0268987341772152,2.66835443037975,3.8,8,10,9,4,2
19,"180147",24,0.115942028985507,2.15579710144928,2.7,11,13,12,4,2
20,"190034",19,0.128654970760234,2.23976608187135,2.9,1,1,1,3,1
21,"20033306",26,0.104615384615385,2.46461538461538,2.5,12,16,14,4,3
22,"20033321",52,0.0414781297134238,2.53393665158371,2.9,0,0,0,3,1
23,"20033323",62,0.0338445267054469,2.49222065063649,2.6,11,15,13,4,2
24,"20033325",150,0.0155704697986577,2.75400447427293,3,10,15,13,6,4
25,"20033326",10,0.4,1.93333333333333,1.7,8,9,8.5,4,2
26,"20033339",16,0.158333333333333,2.3,2.9,11,14,12.5,3,2
27,"20033354",13,0.256410256410256,2.19230769230769,2.9,2,4,3,4,2
28,"20033367",73,0.0308219178082192,2.62290715372907,2.8,11,12,11.5,4,2
29,"20033390",17,0.147058823529412,2.29411764705882,1.8,10,10,10,3,1
30,"20033426",27,0.0997150997150997,2.41595441595442,2.6,11,14,12.5,4,2
31,"20033451",122,0.0185611705730931,2.69760195095516,3,6,11,10,5,3
32,"20033463",59,0.043249561659848,2.64406779661017,2.9,4,13,5,5,3
33,"20033467",14,0.241758241758242,2.20879120879121,1.7,3,5,4,4,2
34,"20033488",38,0.0654338549075391,2.50640113798009,3,2,5,3.5,4,2
35,"20033492",79,0.0301850048685492,2.66796494644596,3,5,9,7,5,3
36,"20033555",32,0.0705645161290323,2.46774193548387,2.8,3,3,3,3,1
37,"20033571",30,0.0873563218390805,2.41609195402299,2.1,10,16,13,4,2
38,"20033614",100,0.0232323232323232,2.68262626262626,2.9,3,12,8,5,3
39,"20033639",57,0.037593984962406,2.52631578947368,3,10,10,10,3,1
40,"20033783",100,0.0218181818181818,2.6640404040404,2.8,2,6,4,4,2
41,"20034297",25,0.08,1.8525641025641,2,7,7,7,3,1
42,"20034484",28,0.0952380952380952,2.42857142857143,2.8,3,5,4,4,2
43,"20034486",67,0.033921302578019,2.62957937584803,2.9,4,10,7,4,2
44,"20034514",45,0.0535353535353535,2.56666666666667,2.8,1,3,2,4,2
45,"20034929",19,0.128654970760234,2.33918128654971,3,1,1,1,3,1
46,"20035014",47,0.0462534690101758,2.51248843663275,3,1,1,1,3,1
47,"20035017",23,0.122529644268775,2.32806324110672,2.4,0,5,2.5,4,2
48,"20035168",31,0.0838709677419355,2.50752688172043,2.4,5,8,6.5,4,2
49,"20035169",79,0.026614735475495,2.59915611814346,2.7,11,11,11,3,1
50,"20035266",21,0.138095238095238,2.38095238095238,3,9,12,10.5,4,2
51,"20035383",102,0.021355076684139,2.6631721995729,2.9,10,12,11,4,2
52,"20035520",35,0.0705882352941176,2.52773109243697,2.7,7,10,8.5,4,2
53,"20035528",30,0.0758620689655173,2.30804597701149,3,1,1,1,3,1
54,"20035532",99,0.0220573077715935,2.5988455988456,2.9,5,8,6.5,4,2
55,"20035539",17,0.147058823529412,2.31617647058824,1.9,2,2,2,3,1
56,"20035818",67,0.033921302578019,2.6318407960199,2.8,6,9,7.5,4,2
57,"20035877",81,0.0296296296296296,2.5466049382716,2.8,8,9,8,5,3
58,"20035966",21,0.114285714285714,2.23809523809524,2.4,5,5,5,3,1
59,"20036338",25,0.11,2.44666666666667,3,1,3,2,4,2
60,"20036340",144,0.0163170163170163,2.74426961926962,3,4,11,7,6,4
61,"20036344",38,0.0540540540540541,2.60597439544808,3.8,10,10,10,3,1
62,"20036372",19,0.157894736842105,2.3625730994152,3,5,6,5.5,4,2
63,"20036548",30,0.0758620689655173,2.45977011494253,2.8,2,2,2,3,1
64,"20037423",82,0.0292080698584764,2.68533574224631,2.9,6,12,10,5,3
65,"20037425",54,0.0391334730957372,2.54303599374022,3,2,6,4,4,2
66,"20037430",47,0.0508788159111933,2.59574468085106,2.9,12,12,12,4,2
67,"20037434",27,0.0997150997150997,2.31908831908832,2.4,0,4,2,4,2
68,"20037559",79,0.0282375851996105,2.59363842908147,2.8,10,13,11.5,4,2
69,"20037602",17,0.147058823529412,2.30882352941176,2.4,11,11,11,3,1
70,"20037838",19,0.152046783625731,2.16959064327485,3,2,3,2.5,4,2
71,"20037844",67,0.033921302578019,2.61329715061058,2.8,4,6,5,4,2
72,"20037957",15,0.142857142857143,2.26666666666667,2.8,0,0,0,2,1
73,"20056001",32,0.094758064516129,2.4133064516129,3,2,6,2,5,3
74,"20056009",44,0.0623678646934461,2.57293868921776,2.8,6,10,9,5,3
75,"20056042",18,0.215686274509804,2.15686274509804,1.6,6,9,6,5,3
76,"20056073",47,0.0573543015726179,2.5254394079556,3,5,13,11,5,3
77,"20056117",29,0.0985221674876847,2.49014778325123,2.6,12,17,15,5,3
78,"20056197",26,0.126153846153846,2.42769230769231,2.9,6,8,6,5,3
79,"20056208",71,0.0317907444668008,2.64265593561368,2.8,11,13,12,4,2
80,"20056222",60,0.0384180790960452,2.62937853107345,3,8,11,9.5,4,2
81,"20056233",26,0.0892307692307692,2.44923076923077,2.3,5,5,5,3,1
82,"20056265",40,0.0615384615384615,2.55641025641026,2.6,5,8,6.5,4,2
83,"20056399",25,0.11,2.45333333333333,2.8,3,4,3.5,4,2
84,"20056407",35,0.0705882352941176,2.28526645768025,2.7,0,18,3,5,3
85,"20056422",106,0.0195867026055705,2.6062893081761,3,7,7,7,3,1
86,"20056424",17,0.183823529411765,2.25,2.4,9,16,12.5,4,2
87,"20056435",31,0.0989247311827957,2.47956989247312,2.6,0,6,4,5,3
88,"20056466",91,0.0239316239316239,2.64249084249084,2.9,11,14,12.5,4,2
89,"20056616",97,0.0259879725085911,2.71477663230241,3,3,9,6.5,6,4
90,"20056800",43,0.0564784053156146,2.55813953488372,3,8,10,9,4,2
91,"20056814",50,0.0514285714285714,2.54367346938775,3,9,14,13,5,3
92,"20056914",83,0.0267411107846018,2.62121657361152,3,10,14,12,4,2
93,"20056985",35,0.0991596638655462,2.21176470588235,2.1,3,12,7,6,4
94,"20057015",135,0.0165837479270315,2.6791597567717,2.8,4,9,7,5,3
95,"20057062",41,0.0597560975609756,2.53414634146341,2.8,10,14,12,4,2
96,"20057108",10,0.222222222222222,2.13333333333333,3,12,12,12,2,1
97,"20057252",76,0.0273684210526316,2.59052631578947,2.8,10,10,10,3,1
98,"20057505",73,0.0334855403348554,2.63546423135464,2.8,11,15,13,5,3
99,"20057516",65,0.0375,2.63125,2.8,11,18,13,5,3
100,"20057590",55,0.0417508417508417,2.49494949494949,3,1,4,2.5,4,2
101,"20057788",28,0.0952380952380952,2.23809523809524,3,1,3,2,4,2
102,"20057835",33,0.0681818181818182,2.45454545454545,2,5,5,5,3,1
103,"20057839",47,0.0508788159111933,2.55411655874191,2.8,11,13,12,4,2
104,"20057898",34,0.0606060606060606,2.28342245989305,2.9,0,0,0,2,1
105,"20057933",62,0.0407191961924907,2.59333685880487,3,8,15,12,5,3
106,"20057976",84,0.0249569707401033,2.55479059093517,2,5,5,5,3,1
107,"20058001",21,0.123809523809524,2.53333333333333,3.2,9,13,11,4,2
108,"20058101",37,0.0675675675675676,2.53603603603604,3,9,14,11.5,4,2
109,"20058109",25,0.106666666666667,2.27666666666667,2,12,13,12.5,4,2
110,"20058229",11,0.254545454545455,2.01818181818182,2.7,8,8,8,3,1
111,"20058268",125,0.0192258064516129,2.73754838709677,3,5,14,9.5,6,4
112,"20058305",39,0.0634278002699055,2.55060728744939,2.9,1,5,3,4,2
113,"20058452",33,0.0681818181818182,2.50378787878788,2.4,9,15,12,3,2
114,"20058543",17,0.382352941176471,1.88970588235294,2,1,13,8,7,5
115,"20058597",18,0.117647058823529,2.30065359477124,3,5,5,5,2,1
116,"20058682",40,0.0512820512820513,2.28461538461538,3,12,12,12,2,1
117,"20058790",187,0.0112126962221839,2.65740900465758,3,9,17,13,4,2
118,"20058846",14,0.186813186813187,2.27472527472527,2.8,5,5,5,3,1
119,"20058951",37,0.0675675675675676,2.54954954954955,3,10,13,11.5,4,2
120,"20058971",22,0.0995670995670996,2.71861471861472,3.8,10,11,10.5,3,2
121,"20059172",32,0.0705645161290323,2.48387096774194,2.5,7,7,7,3,1
122,"20059282",70,0.0322981366459627,2.4360248447205,2.8,4,6,5,4,2
123,"20059317",48,0.0452127659574468,2.27570921985816,2.8,5,5,5,3,1
124,"20059400",21,0.138095238095238,2.37142857142857,3,12,14,13,4,2
125,"20059443",23,0.122529644268775,2.41501976284585,3,7,10,8.5,4,2
126,"20059501",39,0.0526315789473684,2.32231404958678,3,10,12,11,4,2
127,"20059570",93,0.0252454417952314,2.64469378214119,3,4,8,6,5,3
128,"20059651",91,0.0258852258852259,2.67692307692308,3,4,14,7,5,3
129,"20059716",111,0.01998361998362,2.63292383292383,3,7,18,10,4,3
130,"20059792",115,0.0187643020594966,2.65705568268497,3,4,7,5.5,4,2
131,"20059874",23,0.122529644268775,2.34782608695652,2.4,3,4,3.5,4,2
132,"20060159",56,0.0396103896103896,2.65519480519481,2.8,4,10,7,4,2
133,"20060235",51,0.0462745098039216,2.57882352941176,3,10,12,11,4,2
134,"20060465",12,0.227272727272727,2.18181818181818,3,2,2,2,3,1
135,"20060489",61,0.0377049180327869,2.43879781420765,2.8,7,11,9,4,2
136,"20060891",86,0.0235294117647059,2.76681222707424,2.8,10,20,18,4,3
137,"20060979",110,0.0206839032527106,2.67104666968736,2.8,10,15,13,6,4
138,"20061097",77,0.0307587149692413,2.93403964456596,3.7,10,22,15.5,6,4
139,"20061102",11,0.345454545454545,2.03636363636364,2.4,12,19,15.5,4,2
140,"20061236",17,0.147058823529412,2.25,2.1,7,7,7,3,1
141,"20061523",25,0.0933333333333333,2.34,2.9,2,2,2,3,1
142,"20061710",59,0.0391583869082408,2.61016949152542,2.8,10,12,11,4,2
143,"20062027",36,0.0698412698412698,2.54920634920635,2.8,4,12,8,4,2
144,"20062087",22,0.0952380952380952,2.3030303030303,2.6,12,12,12,2,1
145,"20062120",25,0.11,2.41666666666667,2.3,8,10,9,4,2
146,"20062128",80,0.029746835443038,2.67784810126582,2.5,8,12,9,5,3
147,"20062297",49,0.048469387755102,2.54506802721088,2.8,2,4,3,4,2
148,"20062397",3,2,1,1,10,10,10,3,1
149,"20062412",101,0.0215841584158416,2.66118811881188,2.8,8,10,9,4,2
150,"20062442",22,0.12987012987013,2.33333333333333,2.7,7,10,8.5,4,2
151,"20062567",73,0.0289193302891933,2.57305936073059,2.9,2,2,2,3,1
152,"20062605",124,0.019407290847102,2.71820089168634,3,9,18,13,6,4
153,"20062621",46,0.0502415458937198,2.44057971014493,3,11,14,12.5,4,2
154,"20062902",58,0.0369026013309135,2.51905626134301,3,4,6,5,3,2
155,"20063116",44,0.0623678646934461,2.44397463002114,2.3,9,20,16,5,3
156,"20063153",17,0.147058823529412,2.25,2.2,11,11,11,3,1
157,"20063210",57,0.0407268170426065,2.49436090225564,2.9,11,13,12,4,2
158,"20063251",88,0.0250783699059561,2.64158829676071,3,9,11,10,4,2
159,"20063275",39,0.0728744939271255,2.36302294197031,2.7,7,12,11,5,3
160,"20063413",74,0.0329507589781562,2.64457608293225,2.8,10,14,12,5,3
161,"20063441",75,0.0299099099099099,2.60540540540541,2.8,8,10,9,4,2
162,"20063671",115,0.0198321891685736,2.69031273836766,2.8,7,12,9,5,3
163,"20063673",86,0.025718194254446,2.61285909712722,2.9,8,11,9.5,4,2
164,"20063769",37,0.0675675675675676,2.496996996997,2.8,5,7,6,4,2
165,"20064030",13,0.179487179487179,2.14102564102564,2,0,0,0,2,1
166,"20064038",43,0.0564784053156146,2.52602436323367,3,11,13,12,4,2
167,"20064059",57,0.0407268170426065,2.59398496240602,2.9,7,11,9,4,2
168,"20064084",55,0.0390572390572391,2.53063973063973,3,2,5,3.5,3,2
169,"20064505",23,0.122529644268775,2.42292490118577,2.8,5,8,6.5,4,2
170,"20064902",78,0.030969030969031,2.67032967032967,3,3,10,8,5,3
171,"20064938",136,0.0156862745098039,2.68986928104575,3,7,10,8.5,4,2
172,"20065636",130,0.018366129994037,2.69922480620155,2.8,6,16,12,6,4
173,"20065927",54,0.0433263452131377,2.58490566037736,3,7,10,8.5,4,2
174,"20066001",30,0.0873563218390805,2.08505747126437,2.3,0,4,2,4,2
175,"20066067",54,0.0475192173305381,2.61914744933613,3,7,12,11,5,3
176,"20066423",17,0.147058823529412,2.11764705882353,2.2,11,11,11,3,1
177,"20066430",69,0.0328218243819267,2.51960784313725,2.5,0,2,1,4,2
178,"20066523",8,0.392857142857143,1.96428571428571,1.8,8,17,12.5,3,2
179,"20066747",63,0.0363543266769073,2.38044034818228,2.8,11,14,12.5,4,2
180,"20067000",16,0.158333333333333,2.33333333333333,1.9,4,4,4,3,1
181,"20067864",38,0.0654338549075391,2.4452347083926,2.9,5,8,6.5,4,2
182,"20068173",49,0.048469387755102,2.56377551020408,3,3,5,4,4,2
183,"20068314",93,0.0224403927068724,2.5960729312763,2.8,3,3,3,3,1
184,"20068410",48,0.0478723404255319,2.68439716312057,3.7,2,5,3.5,4,2
185,"20068540",16,0.15,1.85833333333333,2,12,13,12.5,2,2
186,"20068825",116,0.019640179910045,2.71334332833583,3,9,15,14,5,3
187,"20069279",85,0.0260504201680672,2.63137254901961,3,6,9,7.5,4,2
188,"20069445",23,0.118577075098814,2.42292490118577,3,12,14,13,4,2
189,"20069608",41,0.0597560975609756,2.53536585365854,2.9,8,14,11,4,2
190,"20070044",39,0.0634278002699055,2.3859649122807,2.7,7,12,9.5,4,2
191,"20070116",45,0.0484848484848485,2.54747474747475,2.7,12,12,12,3,1
192,"20070176",33,0.0681818181818182,2.45265151515152,2.9,6,6,6,3,1
193,"20070554",135,0.0165837479270315,2.706135986733,3,5,12,7,5,3
194,"20071114",22,0.12987012987013,2.41125541125541,2.8,3,5,4,4,2
195,"20071116",44,0.0570824524312896,2.72938689217759,3.7,2,9,6,5,3
196,"20071118",55,0.0424242424242424,2.61346801346801,3,5,7,6,4,2
197,"20071795",33,0.0909090909090909,2.51515151515152,2.7,8,12,11,5,3
198,"20072184",17,0.147058823529412,2.34558823529412,2.6,3,3,3,3,1
199,"20072737",47,0.0508788159111933,2.33487511563367,2.1,12,18,15,4,2
200,"20073017",51,0.0423529411764706,2.54274509803922,2.8,5,5,5,3,1
201,"20073743",66,0.0368298368298368,2.65174825174825,3,4,12,10,5,3
202,"20073754",36,0.0952380952380952,2.52380952380952,2.9,5,11,8,6,4
203,"20073772",8,0.392857142857143,1.96428571428571,2.9,4,4,4,3,1
204,"20073820",31,0.0838709677419355,2.41935483870968,3,9,12,10.5,4,2
205,"20084150",135,0.0160309563294638,3.09729132117192,3.9,10,21,18,6,4
206,"20085821",42,0.0580720092915215,2.43786295005807,3,11,13,12,4,2
207,"20086455",59,0.0426651081239042,2.58445353594389,2.7,6,10,8,5,3
208,"20086527",32,0.0705645161290323,2.48387096774194,2.9,1,1,1,3,1
209,"20086954",65,0.0427884615384615,2.53365384615385,2.6,1,13,6,6,4
210,"20087099",79,0.029535864978903,2.56572541382668,2.4,12,18,13,5,3
211,"20087242",32,0.0705645161290323,2.48790322580645,2.8,4,4,4,3,1
212,"20087888",4,2,1,1,0,10,5,4,2
213,"20088801",53,0.044267053701016,2.59796806966618,2.9,11,13,12,4,2
214,"20089263",48,0.049645390070922,2.57890070921986,2.8,2,5,3.5,4,2
215,"20089496",56,0.0415584415584416,2.59675324675325,2.8,4,6,5,4,2
216,"20089676",87,0.0272654370489174,2.68564554931836,2.9,3,5,3,5,3
217,"20089990",139,0.0160567198415181,2.6271504535502,3,9,13,13,5,3
218,"20090121",127,0.0168728908886389,2.67791526059243,2.9,3,8,5.5,4,2
219,"20090144",102,0.0227140361094933,2.65695981362842,2.9,6,13,11,5,3
220,"20091402",43,0.0509413067552602,2.40753045404208,2,9,9,9,3,1
221,"20091635",138,0.0161853379879403,2.69639267957262,2.9,2,7,5,5,3
222,"20092411",11,0.345454545454545,2.03636363636364,2.6,9,13,11,4,2
223,"20092458",36,0.080952380952381,2.52857142857143,2.8,12,17,14,5,3
224,"20092624",33,0.0776515151515152,2.38825757575758,3,5,7,6,4,2
225,"20092717",24,0.0942028985507246,2.86594202898551,3.9,4,7,5.5,4,2
226,"20093812",60,0.0355932203389831,2.50282485875706,2.8,10,10,10,3,1
227,"2038522",6,0.933333333333333,1.46666666666667,1.6,3,6,4.5,4,2
228,"2070031",45,0.0484848484848485,2.45656565656566,3,8,12,10,3,2
229,"207475",25,0.11,2.36,3,10,10,10,4,1
230,"2109526",21,0.1,2.33333333333333,3,6,6,6,2,1
231,"213625",46,0.0521739130434783,2.55652173913043,2.8,3,6,4.5,4,2
232,"215529",99,0.0216450216450216,2.38964718001545,2.9,11,19,16,5,3
233,"221758",32,0.0806451612903226,2.46975806451613,2.7,11,13,12,4,2
234,"2255669",80,0.0300632911392405,2.675,2.4,9,15,11,5,3
235,"2325729",63,0.0363543266769073,2.62109575012801,2.8,11,16,13.5,4,2
236,"2398180",72,0.0312989045383412,2.62480438184664,3,9,16,12.5,4,2
237,"2435783",5,1.3,1.3,1.2,10,12,11,4,2
238,"2439480",7,0.476190476190476,1.66666666666667,1.2,11,11,11,3,1
239,"2452344",8,0.285714285714286,2.07142857142857,3,13,13,13,2,1
240,"2470798",119,0.0180885913687509,2.60774818401937,2.6,12,15,13.5,4,2
241,"2484669",10,0.377777777777778,2,2.8,7,12,9.5,4,2
242,"255230",147,0.015003261578604,2.48908606921029,2.9,6,15,10.5,6,4
243,"272791",13,0.358974358974359,1.93589743589744,2.3,12,21,18,5,3
244,"274046",117,0.0184202770409667,2.62584733274388,3,5,7,6,4,2
245,"285152",63,0.03584229390681,2.58115719406042,2.8,6,9,7.5,4,2
246,"2874689",108,0.0212876427829699,2.70283835237106,2.7,4,8,6,5,3
247,"293473",104,0.0197908887229276,2.61370425690814,3,11,11,11,3,1
248,"2991872",25,0.0866666666666667,2.74,3.6,6,9,7.5,3,2
249,"30185177",18,0.111111111111111,2.28104575163399,2,9,9,9,2,1
250,"30185312",99,0.0220573077715935,2.53638425066996,2.9,12,13,12.5,4,2
251,"30185456",110,0.0208507089241034,2.62135112593828,3,9,15,13,5,3
252,"30185480",66,0.0344988344988345,2.53659673659674,2.8,9,11,10,4,2
253,"30185514",65,0.0317307692307692,2.63317307692308,3.8,9,13,11,4,2
254,"30185749",34,0.0748663101604278,2.50089126559715,2.8,5,11,8,4,2
255,"3042290",52,0.0452488687782805,2.5422322775264,3,6,7,6.5,4,2
256,"318752",11,0.345454545454545,2.07272727272727,2.6,12,14,13,4,2
257,"339803",267,0.00760327785756526,2.64670102221847,2.9,5,7,6,3,2
258,"3491228",79,0.0275884453099643,2.85361895488478,4,3,5,4,4,2
259,"3686261",22,0.108225108225108,2.41991341991342,2.8,4,4,4,3,1
260,"3825",67,0.0370872908186341,2.65897783808232,3,8,11,10,5,3
261,"4050797",12,0.212121212121212,2.04545454545455,2.1,1,1,1,3,1
262,"4057951",32,0.0705645161290323,2.43951612903226,2.9,1,1,1,3,1
263,"4172139",22,0.108225108225108,2.38528138528139,1.7,8,10,9,3,2
264,"4245014",15,0.171428571428571,2.28571428571429,2.8,12,12,12,3,1
265,"4334509",36,0.0603174603174603,2.47619047619048,2.7,8,8,8,3,1
266,"4371799",57,0.037593984962406,2.56015037593985,2.5,8,8,8,3,1
267,"4372152",39,0.0566801619433198,2.49662618083671,2.7,1,1,1,3,1
268,"441492",41,0.0597560975609756,2.50853658536585,2.6,10,13,11.5,4,2
269,"447012",56,0.0383116883116883,2.31558441558442,2.8,9,9,9,3,1
270,"4678670",10,0.288888888888889,1.77777777777778,1.3,3,3,3,3,1
271,"4793",65,0.0350961538461538,2.50384615384615,2.7,10,13,11.5,4,2
272,"482513",54,0.0475192173305381,2.59608665269043,2.4,8,12,10,5,3
273,"4845",34,0.0659536541889483,2.4349376114082,3,0,0,0,3,1
274,"487509",9,0.333333333333333,2,2.3,0,0,0,3,1
275,"4897338",99,0.0235003092145949,2.66893424036281,3,9,15,13,5,3
276,"5245145",25,0.11,2.40333333333333,2.1,3,5,4,4,2
277,"5245419",57,0.0407268170426065,2.60964912280702,2.8,6,12,9,4,2
278,"5347805",74,0.0329507589781562,2.5564605701592,3,0,4,2,5,3
279,"543398",11,0.2,2.07272727272727,2.8,4,4,4,2,1
280,"5461565",43,0.0564784053156146,2.56921373200443,3,1,6,3.5,4,2
281,"5559980",90,0.0244694132334582,2.6039950062422,3,8,10,9,4,2
282,"5928624",81,0.0274691358024691,2.63240740740741,2.9,4,7,5.5,4,2
283,"5956252",50,0.043265306122449,2.52734693877551,2.8,12,12,12,3,1
284,"5957632",31,0.0838709677419355,2.36344086021505,2.9,2,6,4,4,2
285,"6141979",108,0.0212876427829699,2.67601246105919,3,3,11,8,5,3
286,"614776",47,0.0508788159111933,2.57354301572618,3,8,15,11.5,4,2
287,"6192076",50,0.0448979591836735,2.55428571428571,3.8,3,6,4.5,4,2
288,"6323991",19,0.198830409356725,2.05263157894737,2.9,5,19,17,5,3
289,"6540209",31,0.0838709677419355,2.45161290322581,2.8,7,9,8,4,2
290,"662350",105,0.0206959706959707,2.60128205128205,3,2,2,2,4,2
291,"680606",18,0.169934640522876,2.26143790849673,2.6,4,6,5,4,2
292,"7200106",110,0.0196830692243536,2.64870725604671,3,9,12,10.5,4,2
293,"723543",75,0.0299099099099099,2.6381981981982,3,10,10,10,4,2
294,"726871",35,0.0722689075630252,2.08403361344538,2.8,6,11,8.5,4,2
295,"7336623",75,0.0299099099099099,2.59891891891892,3,12,14,13,4,2
296,"751825",37,0.0675675675675676,2.54954954954955,2.8,1,1,1,4,2
297,"7566022",50,0.0473469387755102,2.58530612244898,3,11,13,12,4,2
298,"7583935",23,0.150197628458498,2.36758893280632,2.8,12,16,16,5,3
299,"7737833",64,0.0317460317460317,2.26636904761905,2.8,12,12,12,2,1
300,"8103139",43,0.0509413067552602,2.47065337763012,3,3,3,3,3,1
301,"8210421",123,0.0183926429428229,2.65520458483273,2.8,8,14,12,5,3
302,"8269554",99,0.0218511647083076,2.60276231704803,3,11,14,12.5,4,2
303,"8345283",19,0.111111111111111,2.14035087719298,2,5,5,5,2,1
304,"8400705",45,0.0535353535353535,2.55858585858586,3,3,6,4.5,4,2
305,"8516142",46,0.0521739130434783,2.5536231884058,2.9,2,7,4.5,4,2
306,"8569908",62,0.0370174510840825,2.58751983077737,2.8,8,12,10,4,2
307,"892028",56,0.0415584415584416,2.47467532467532,2.7,2,4,3,4,2
308,"932792",102,0.0227140361094933,2.63599301106581,2.8,4,9,8,5,3
309,"9352632",34,0.0659536541889483,2.46345811051693,3,3,3,3,3,1
310,"9352642",97,0.0225515463917526,2.60567010309278,3,2,4,3,4,2
311,"9447989",58,0.044162129461585,2.62189957652753,2.6,8,12,10,5,3
312,"9571866",17,0.183823529411765,2.31617647058824,3,0,3,1.5,4,2
313,"9654869",81,0.0351851851851852,2.61820987654321,2.8,0,26,23,7,5
314,"9749638",53,0.044267053701016,2.53701015965167,2.6,9,12,10.5,4,2
315,"9762167",64,0.0357142857142857,2.61755952380952,3,2,5,3.5,4,2
316,"9904363",67,0.0316598824061511,2.50565355042967,2.9,4,6,5,3,2
317,"9935357",12,0.303030303030303,2.04545454545455,2.8,11,20,15.5,4,2
