Id,Label,timeset,size,density,avgdistance,diameter,youngestchild,oldestchild,agechildren_med,hh_size,children,modularity_class
0,10002090,,13,0.192308,2.24359,2.6,8,8,8,3,1,3
1,10002570,,41,0.056098,2.481707,2.9,12,17,14.5,4,2,3
2,10002738,,72,0.031299,2.60446,3,4,7,5.5,4,2,2
3,10002760,,102,0.021355,2.667249,3,4,10,7,4,2,0
4,10002861,,42,0.062718,2.563298,2.9,4,7,5,5,3,0
5,1177291,,19,0.128655,2.380117,2.8,5,5,5,3,1,3
6,119730,,58,0.039927,2.588627,2.8,12,14,13,4,2,1
7,120537,,105,0.020696,2.647619,2.9,11,12,11.5,4,2,3
8,13427,,42,0.047619,2.667828,3.1,9,12,10.5,4,2,3
9,135807,,76,0.029123,2.564561,2.8,12,14,13,4,2,0
10,1421646,,141,0.016717,2.741033,3,9,13,11.5,6,4,2
11,1432206,,90,0.024469,2.665418,2.8,6,8,7,4,2,2
12,1454172,,13,0.269231,2.179487,2.1,13,22,17.5,4,2,2
13,149733,,75,0.02991,2.571892,2.9,2,5,3.5,4,2,0
14,154610,,44,0.054968,2.491543,2.7,2,4,3,4,2,1
15,15907,,29,0.091133,2.497537,2.9,12,14,13,4,2,0
16,1602823,,54,0.043326,2.424878,2.8,4,10,7,4,2,1
17,1676207,,42,0.047619,2.055944,3,6,6,6,3,1,2
18,1759211,,80,0.026899,2.668354,3.8,8,10,9,4,2,1
19,180147,,24,0.115942,2.155797,2.7,11,13,12,4,2,3
20,190034,,19,0.128655,2.239766,2.9,1,1,1,3,1,1
21,20033306,,26,0.104615,2.464615,2.5,12,16,14,4,3,2
22,20033321,,52,0.041478,2.533937,2.9,0,0,0,3,1,1
23,20033323,,62,0.033845,2.492221,2.6,11,15,13,4,2,0
24,20033325,,150,0.01557,2.754004,3,10,15,13,6,4,3
25,20033326,,10,0.4,1.933333,1.7,8,9,8.5,4,2,3
26,20033339,,16,0.158333,2.3,2.9,11,14,12.5,3,2,2
27,20033354,,13,0.25641,2.192308,2.9,2,4,3,4,2,2
28,20033367,,73,0.030822,2.622907,2.8,11,12,11.5,4,2,0
29,20033390,,17,0.147059,2.294118,1.8,10,10,10,3,1,1
30,20033426,,27,0.099715,2.415954,2.6,11,14,12.5,4,2,2
31,20033451,,122,0.018561,2.697602,3,6,11,10,5,3,3
32,20033463,,59,0.04325,2.644068,2.9,4,13,5,5,3,0
33,20033467,,14,0.241758,2.208791,1.7,3,5,4,4,2,0
34,20033488,,38,0.065434,2.506401,3,2,5,3.5,4,2,3
35,20033492,,79,0.030185,2.667965,3,5,9,7,5,3,1
36,20033555,,32,0.070565,2.467742,2.8,3,3,3,3,1,2
37,20033571,,30,0.087356,2.416092,2.1,10,16,13,4,2,1
38,20033614,,100,0.023232,2.682626,2.9,3,12,8,5,3,1
39,20033639,,57,0.037594,2.526316,3,10,10,10,3,1,2
40,20033783,,100,0.021818,2.66404,2.8,2,6,4,4,2,3
41,20034297,,25,0.08,1.852564,2,7,7,7,3,1,0
42,20034484,,28,0.095238,2.428571,2.8,3,5,4,4,2,3
43,20034486,,67,0.033921,2.629579,2.9,4,10,7,4,2,2
44,20034514,,45,0.053535,2.566667,2.8,1,3,2,4,2,0
45,20034929,,19,0.128655,2.339181,3,1,1,1,3,1,2
46,20035014,,47,0.046253,2.512488,3,1,1,1,3,1,3
47,20035017,,23,0.12253,2.328063,2.4,0,5,2.5,4,2,3
48,20035168,,31,0.083871,2.507527,2.4,5,8,6.5,4,2,3
49,20035169,,79,0.026615,2.599156,2.7,11,11,11,3,1,2
50,20035266,,21,0.138095,2.380952,3,9,12,10.5,4,2,2
51,20035383,,102,0.021355,2.663172,2.9,10,12,11,4,2,2
52,20035520,,35,0.070588,2.527731,2.7,7,10,8.5,4,2,1
53,20035528,,30,0.075862,2.308046,3,1,1,1,3,1,2
54,20035532,,99,0.022057,2.598846,2.9,5,8,6.5,4,2,1
55,20035539,,17,0.147059,2.316176,1.9,2,2,2,3,1,2
56,20035818,,67,0.033921,2.631841,2.8,6,9,7.5,4,2,3
57,20035877,,81,0.02963,2.546605,2.8,8,9,8,5,3,3
58,20035966,,21,0.114286,2.238095,2.4,5,5,5,3,1,2
59,20036338,,25,0.11,2.446667,3,1,3,2,4,2,2
60,20036340,,144,0.016317,2.74427,3,4,11,7,6,4,2
61,20036344,,38,0.054054,2.605974,3.8,10,10,10,3,1,2
62,20036372,,19,0.157895,2.362573,3,5,6,5.5,4,2,2
63,20036548,,30,0.075862,2.45977,2.8,2,2,2,3,1,0
64,20037423,,82,0.029208,2.685336,2.9,6,12,10,5,3,3
65,20037425,,54,0.039133,2.543036,3,2,6,4,4,2,0
66,20037430,,47,0.050879,2.595745,2.9,12,12,12,4,2,2
67,20037434,,27,0.099715,2.319088,2.4,0,4,2,4,2,1
68,20037559,,79,0.028238,2.593638,2.8,10,13,11.5,4,2,2
69,20037602,,17,0.147059,2.308824,2.4,11,11,11,3,1,3
70,20037838,,19,0.152047,2.169591,3,2,3,2.5,4,2,3
71,20037844,,67,0.033921,2.613297,2.8,4,6,5,4,2,0
72,20037957,,15,0.142857,2.266667,2.8,0,0,0,2,1,1
73,20056001,,32,0.094758,2.413306,3,2,6,2,5,3,3
74,20056009,,44,0.062368,2.572939,2.8,6,10,9,5,3,3
75,20056042,,18,0.215686,2.156863,1.6,6,9,6,5,3,2
76,20056073,,47,0.057354,2.525439,3,5,13,11,5,3,1
77,20056117,,29,0.098522,2.490148,2.6,12,17,15,5,3,3
78,20056197,,26,0.126154,2.427692,2.9,6,8,6,5,3,2
79,20056208,,71,0.031791,2.642656,2.8,11,13,12,4,2,0
80,20056222,,60,0.038418,2.629379,3,8,11,9.5,4,2,1
81,20056233,,26,0.089231,2.449231,2.3,5,5,5,3,1,3
82,20056265,,40,0.061538,2.55641,2.6,5,8,6.5,4,2,3
83,20056399,,25,0.11,2.453333,2.8,3,4,3.5,4,2,2
84,20056407,,35,0.070588,2.285266,2.7,0,18,3,5,3,3
85,20056422,,106,0.019587,2.606289,3,7,7,7,3,1,0
86,20056424,,17,0.183824,2.25,2.4,9,16,12.5,4,2,1
87,20056435,,31,0.098925,2.47957,2.6,0,6,4,5,3,1
88,20056466,,91,0.023932,2.642491,2.9,11,14,12.5,4,2,2
89,20056616,,97,0.025988,2.714777,3,3,9,6.5,6,4,0
90,20056800,,43,0.056478,2.55814,3,8,10,9,4,2,3
91,20056814,,50,0.051429,2.543673,3,9,14,13,5,3,0
92,20056914,,83,0.026741,2.621217,3,10,14,12,4,2,1
93,20056985,,35,0.09916,2.211765,2.1,3,12,7,6,4,3
94,20057015,,135,0.016584,2.67916,2.8,4,9,7,5,3,2
95,20057062,,41,0.059756,2.534146,2.8,10,14,12,4,2,3
96,20057108,,10,0.222222,2.133333,3,12,12,12,2,1,3
97,20057252,,76,0.027368,2.590526,2.8,10,10,10,3,1,3
98,20057505,,73,0.033486,2.635464,2.8,11,15,13,5,3,3
99,20057516,,65,0.0375,2.63125,2.8,11,18,13,5,3,2
100,20057590,,55,0.041751,2.494949,3,1,4,2.5,4,2,2
101,20057788,,28,0.095238,2.238095,3,1,3,2,4,2,0
102,20057835,,33,0.068182,2.454545,2,5,5,5,3,1,3
103,20057839,,47,0.050879,2.554117,2.8,11,13,12,4,2,1
104,20057898,,34,0.060606,2.283422,2.9,0,0,0,2,1,0
105,20057933,,62,0.040719,2.593337,3,8,15,12,5,3,2
106,20057976,,84,0.024957,2.554791,2,5,5,5,3,1,3
107,20058001,,21,0.12381,2.533333,3.2,9,13,11,4,2,3
108,20058101,,37,0.067568,2.536036,3,9,14,11.5,4,2,1
109,20058109,,25,0.106667,2.276667,2,12,13,12.5,4,2,2
110,20058229,,11,0.254545,2.018182,2.7,8,8,8,3,1,2
111,20058268,,125,0.019226,2.737548,3,5,14,9.5,6,4,2
112,20058305,,39,0.063428,2.550607,2.9,1,5,3,4,2,3
113,20058452,,33,0.068182,2.503788,2.4,9,15,12,3,2,2
114,20058543,,17,0.382353,1.889706,2,1,13,8,7,5,2
115,20058597,,18,0.117647,2.300654,3,5,5,5,2,1,1
116,20058682,,40,0.051282,2.284615,3,12,12,12,2,1,3
117,20058790,,187,0.011213,2.657409,3,9,17,13,4,2,2
118,20058846,,14,0.186813,2.274725,2.8,5,5,5,3,1,0
119,20058951,,37,0.067568,2.54955,3,10,13,11.5,4,2,3
120,20058971,,22,0.099567,2.718615,3.8,10,11,10.5,3,2,2
121,20059172,,32,0.070565,2.483871,2.5,7,7,7,3,1,0
122,20059282,,70,0.032298,2.436025,2.8,4,6,5,4,2,1
123,20059317,,48,0.045213,2.275709,2.8,5,5,5,3,1,3
124,20059400,,21,0.138095,2.371429,3,12,14,13,4,2,1
125,20059443,,23,0.12253,2.41502,3,7,10,8.5,4,2,2
126,20059501,,39,0.052632,2.322314,3,10,12,11,4,2,2
127,20059570,,93,0.025245,2.644694,3,4,8,6,5,3,3
128,20059651,,91,0.025885,2.676923,3,4,14,7,5,3,0
129,20059716,,111,0.019984,2.632924,3,7,18,10,4,3,2
130,20059792,,115,0.018764,2.657056,3,4,7,5.5,4,2,0
131,20059874,,23,0.12253,2.347826,2.4,3,4,3.5,4,2,2
132,20060159,,56,0.03961,2.655195,2.8,4,10,7,4,2,0
133,20060235,,51,0.046275,2.578824,3,10,12,11,4,2,3
134,20060465,,12,0.227273,2.181818,3,2,2,2,3,1,2
135,20060489,,61,0.037705,2.438798,2.8,7,11,9,4,2,1
136,20060891,,86,0.023529,2.766812,2.8,10,20,18,4,3,0
137,20060979,,110,0.020684,2.671047,2.8,10,15,13,6,4,2
138,20061097,,77,0.030759,2.93404,3.7,10,22,15.5,6,4,1
139,20061102,,11,0.345455,2.036364,2.4,12,19,15.5,4,2,2
140,20061236,,17,0.147059,2.25,2.1,7,7,7,3,1,3
141,20061523,,25,0.093333,2.34,2.9,2,2,2,3,1,3
142,20061710,,59,0.039158,2.610169,2.8,10,12,11,4,2,2
143,20062027,,36,0.069841,2.549206,2.8,4,12,8,4,2,2
144,20062087,,22,0.095238,2.30303,2.6,12,12,12,2,1,1
145,20062120,,25,0.11,2.416667,2.3,8,10,9,4,2,0
146,20062128,,80,0.029747,2.677848,2.5,8,12,9,5,3,2
147,20062297,,49,0.048469,2.545068,2.8,2,4,3,4,2,2
148,20062397,,3,2,1,1,10,10,10,3,1,3
149,20062412,,101,0.021584,2.661188,2.8,8,10,9,4,2,3
150,20062442,,22,0.12987,2.333333,2.7,7,10,8.5,4,2,0
151,20062567,,73,0.028919,2.573059,2.9,2,2,2,3,1,2
152,20062605,,124,0.019407,2.718201,3,9,18,13,6,4,3
153,20062621,,46,0.050242,2.44058,3,11,14,12.5,4,2,2
154,20062902,,58,0.036903,2.519056,3,4,6,5,3,2,2
155,20063116,,44,0.062368,2.443975,2.3,9,20,16,5,3,3
156,20063153,,17,0.147059,2.25,2.2,11,11,11,3,1,2
157,20063210,,57,0.040727,2.494361,2.9,11,13,12,4,2,2
158,20063251,,88,0.025078,2.641588,3,9,11,10,4,2,0
159,20063275,,39,0.072874,2.363023,2.7,7,12,11,5,3,2
160,20063413,,74,0.032951,2.644576,2.8,10,14,12,5,3,0
161,20063441,,75,0.02991,2.605405,2.8,8,10,9,4,2,0
162,20063671,,115,0.019832,2.690313,2.8,7,12,9,5,3,2
163,20063673,,86,0.025718,2.612859,2.9,8,11,9.5,4,2,3
164,20063769,,37,0.067568,2.496997,2.8,5,7,6,4,2,3
165,20064030,,13,0.179487,2.141026,2,0,0,0,2,1,2
166,20064038,,43,0.056478,2.526024,3,11,13,12,4,2,0
167,20064059,,57,0.040727,2.593985,2.9,7,11,9,4,2,2
168,20064084,,55,0.039057,2.53064,3,2,5,3.5,3,2,0
169,20064505,,23,0.12253,2.422925,2.8,5,8,6.5,4,2,1
170,20064902,,78,0.030969,2.67033,3,3,10,8,5,3,2
171,20064938,,136,0.015686,2.689869,3,7,10,8.5,4,2,2
172,20065636,,130,0.018366,2.699225,2.8,6,16,12,6,4,1
173,20065927,,54,0.043326,2.584906,3,7,10,8.5,4,2,1
174,20066001,,30,0.087356,2.085057,2.3,0,4,2,4,2,0
175,20066067,,54,0.047519,2.619147,3,7,12,11,5,3,3
176,20066423,,17,0.147059,2.117647,2.2,11,11,11,3,1,3
177,20066430,,69,0.032822,2.519608,2.5,0,2,1,4,2,0
178,20066523,,8,0.392857,1.964286,1.8,8,17,12.5,3,2,1
179,20066747,,63,0.036354,2.38044,2.8,11,14,12.5,4,2,0
180,20067000,,16,0.158333,2.333333,1.9,4,4,4,3,1,2
181,20067864,,38,0.065434,2.445235,2.9,5,8,6.5,4,2,3
182,20068173,,49,0.048469,2.563776,3,3,5,4,4,2,3
183,20068314,,93,0.02244,2.596073,2.8,3,3,3,3,1,3
184,20068410,,48,0.047872,2.684397,3.7,2,5,3.5,4,2,3
185,20068540,,16,0.15,1.858333,2,12,13,12.5,2,2,2
186,20068825,,116,0.01964,2.713343,3,9,15,14,5,3,0
187,20069279,,85,0.02605,2.631373,3,6,9,7.5,4,2,0
188,20069445,,23,0.118577,2.422925,3,12,14,13,4,2,2
189,20069608,,41,0.059756,2.535366,2.9,8,14,11,4,2,3
190,20070044,,39,0.063428,2.385965,2.7,7,12,9.5,4,2,3
191,20070116,,45,0.048485,2.547475,2.7,12,12,12,3,1,2
192,20070176,,33,0.068182,2.452652,2.9,6,6,6,3,1,0
193,20070554,,135,0.016584,2.706136,3,5,12,7,5,3,2
194,20071114,,22,0.12987,2.411255,2.8,3,5,4,4,2,2
195,20071116,,44,0.057082,2.729387,3.7,2,9,6,5,3,1
196,20071118,,55,0.042424,2.613468,3,5,7,6,4,2,0
197,20071795,,33,0.090909,2.515152,2.7,8,12,11,5,3,0
198,20072184,,17,0.147059,2.345588,2.6,3,3,3,3,1,2
199,20072737,,47,0.050879,2.334875,2.1,12,18,15,4,2,2
200,20073017,,51,0.042353,2.542745,2.8,5,5,5,3,1,0
201,20073743,,66,0.03683,2.651748,3,4,12,10,5,3,1
202,20073754,,36,0.095238,2.52381,2.9,5,11,8,6,4,2
203,20073772,,8,0.392857,1.964286,2.9,4,4,4,3,1,0
204,20073820,,31,0.083871,2.419355,3,9,12,10.5,4,2,2
205,20084150,,135,0.016031,3.097291,3.9,10,21,18,6,4,0
206,20085821,,42,0.058072,2.437863,3,11,13,12,4,2,3
207,20086455,,59,0.042665,2.584454,2.7,6,10,8,5,3,0
208,20086527,,32,0.070565,2.483871,2.9,1,1,1,3,1,2
209,20086954,,65,0.042788,2.533654,2.6,1,13,6,6,4,2
210,20087099,,79,0.029536,2.565725,2.4,12,18,13,5,3,0
211,20087242,,32,0.070565,2.487903,2.8,4,4,4,3,1,1
212,20087888,,4,2,1,1,0,10,5,4,2,1
213,20088801,,53,0.044267,2.597968,2.9,11,13,12,4,2,1
214,20089263,,48,0.049645,2.578901,2.8,2,5,3.5,4,2,1
215,20089496,,56,0.041558,2.596753,2.8,4,6,5,4,2,2
216,20089676,,87,0.027265,2.685646,2.9,3,5,3,5,3,3
217,20089990,,139,0.016057,2.62715,3,9,13,13,5,3,3
218,20090121,,127,0.016873,2.677915,2.9,3,8,5.5,4,2,2
219,20090144,,102,0.022714,2.65696,2.9,6,13,11,5,3,3
220,20091402,,43,0.050941,2.40753,2,9,9,9,3,1,3
221,20091635,,138,0.016185,2.696393,2.9,2,7,5,5,3,1
222,20092411,,11,0.345455,2.036364,2.6,9,13,11,4,2,3
223,20092458,,36,0.080952,2.528571,2.8,12,17,14,5,3,2
224,20092624,,33,0.077652,2.388258,3,5,7,6,4,2,2
225,20092717,,24,0.094203,2.865942,3.9,4,7,5.5,4,2,2
226,20093812,,60,0.035593,2.502825,2.8,10,10,10,3,1,3
227,2038522,,6,0.933333,1.466667,1.6,3,6,4.5,4,2,0
228,2070031,,45,0.048485,2.456566,3,8,12,10,3,2,2
229,207475,,25,0.11,2.36,3,10,10,10,4,1,2
230,2109526,,21,0.1,2.333333,3,6,6,6,2,1,3
231,213625,,46,0.052174,2.556522,2.8,3,6,4.5,4,2,3
232,215529,,99,0.021645,2.389647,2.9,11,19,16,5,3,2
233,221758,,32,0.080645,2.469758,2.7,11,13,12,4,2,1
234,2255669,,80,0.030063,2.675,2.4,9,15,11,5,3,2
235,2325729,,63,0.036354,2.621096,2.8,11,16,13.5,4,2,3
236,2398180,,72,0.031299,2.624804,3,9,16,12.5,4,2,1
237,2435783,,5,1.3,1.3,1.2,10,12,11,4,2,0
238,2439480,,7,0.47619,1.666667,1.2,11,11,11,3,1,3
239,2452344,,8,0.285714,2.071429,3,13,13,13,2,1,0
240,2470798,,119,0.018089,2.607748,2.6,12,15,13.5,4,2,2
241,2484669,,10,0.377778,2,2.8,7,12,9.5,4,2,3
242,255230,,147,0.015003,2.489086,2.9,6,15,10.5,6,4,1
243,272791,,13,0.358974,1.935897,2.3,12,21,18,5,3,0
244,274046,,117,0.01842,2.625847,3,5,7,6,4,2,3
245,285152,,63,0.035842,2.581157,2.8,6,9,7.5,4,2,3
246,2874689,,108,0.021288,2.702838,2.7,4,8,6,5,3,1
247,293473,,104,0.019791,2.613704,3,11,11,11,3,1,3
248,2991872,,25,0.086667,2.74,3.6,6,9,7.5,3,2,0
249,30185177,,18,0.111111,2.281046,2,9,9,9,2,1,2
250,30185312,,99,0.022057,2.536384,2.9,12,13,12.5,4,2,0
251,30185456,,110,0.020851,2.621351,3,9,15,13,5,3,3
252,30185480,,66,0.034499,2.536597,2.8,9,11,10,4,2,3
253,30185514,,65,0.031731,2.633173,3.8,9,13,11,4,2,2
254,30185749,,34,0.074866,2.500891,2.8,5,11,8,4,2,3
255,3042290,,52,0.045249,2.542232,3,6,7,6.5,4,2,1
256,318752,,11,0.345455,2.072727,2.6,12,14,13,4,2,1
257,339803,,267,0.007603,2.646701,2.9,5,7,6,3,2,3
258,3491228,,79,0.027588,2.853619,4,3,5,4,4,2,2
259,3686261,,22,0.108225,2.419913,2.8,4,4,4,3,1,3
260,3825,,67,0.037087,2.658978,3,8,11,10,5,3,2
261,4050797,,12,0.212121,2.045455,2.1,1,1,1,3,1,3
262,4057951,,32,0.070565,2.439516,2.9,1,1,1,3,1,2
263,4172139,,22,0.108225,2.385281,1.7,8,10,9,3,2,3
264,4245014,,15,0.171429,2.285714,2.8,12,12,12,3,1,2
265,4334509,,36,0.060317,2.47619,2.7,8,8,8,3,1,0
266,4371799,,57,0.037594,2.56015,2.5,8,8,8,3,1,3
267,4372152,,39,0.05668,2.496626,2.7,1,1,1,3,1,1
268,441492,,41,0.059756,2.508537,2.6,10,13,11.5,4,2,3
269,447012,,56,0.038312,2.315584,2.8,9,9,9,3,1,2
270,4678670,,10,0.288889,1.777778,1.3,3,3,3,3,1,1
271,4793,,65,0.035096,2.503846,2.7,10,13,11.5,4,2,3
272,482513,,54,0.047519,2.596087,2.4,8,12,10,5,3,2
273,4845,,34,0.065954,2.434938,3,0,0,0,3,1,0
274,487509,,9,0.333333,2,2.3,0,0,0,3,1,0
275,4897338,,99,0.0235,2.668934,3,9,15,13,5,3,0
276,5245145,,25,0.11,2.403333,2.1,3,5,4,4,2,0
277,5245419,,57,0.040727,2.609649,2.8,6,12,9,4,2,1
278,5347805,,74,0.032951,2.556461,3,0,4,2,5,3,2
279,543398,,11,0.2,2.072727,2.8,4,4,4,2,1,0
280,5461565,,43,0.056478,2.569214,3,1,6,3.5,4,2,3
281,5559980,,90,0.024469,2.603995,3,8,10,9,4,2,0
282,5928624,,81,0.027469,2.632407,2.9,4,7,5.5,4,2,2
283,5956252,,50,0.043265,2.527347,2.8,12,12,12,3,1,0
284,5957632,,31,0.083871,2.363441,2.9,2,6,4,4,2,3
285,6141979,,108,0.021288,2.676012,3,3,11,8,5,3,3
286,614776,,47,0.050879,2.573543,3,8,15,11.5,4,2,0
287,6192076,,50,0.044898,2.554286,3.8,3,6,4.5,4,2,2
288,6323991,,19,0.19883,2.052632,2.9,5,19,17,5,3,0
289,6540209,,31,0.083871,2.451613,2.8,7,9,8,4,2,1
290,662350,,105,0.020696,2.601282,3,2,2,2,4,2,0
291,680606,,18,0.169935,2.261438,2.6,4,6,5,4,2,3
292,7200106,,110,0.019683,2.648707,3,9,12,10.5,4,2,2
293,723543,,75,0.02991,2.638198,3,10,10,10,4,2,3
294,726871,,35,0.072269,2.084034,2.8,6,11,8.5,4,2,3
295,7336623,,75,0.02991,2.598919,3,12,14,13,4,2,2
296,751825,,37,0.067568,2.54955,2.8,1,1,1,4,2,2
297,7566022,,50,0.047347,2.585306,3,11,13,12,4,2,3
298,7583935,,23,0.150198,2.367589,2.8,12,16,16,5,3,3
299,7737833,,64,0.031746,2.266369,2.8,12,12,12,2,1,3
300,8103139,,43,0.050941,2.470653,3,3,3,3,3,1,1
301,8210421,,123,0.018393,2.655205,2.8,8,14,12,5,3,1
302,8269554,,99,0.021851,2.602762,3,11,14,12.5,4,2,1
303,8345283,,19,0.111111,2.140351,2,5,5,5,2,1,1
304,8400705,,45,0.053535,2.558586,3,3,6,4.5,4,2,0
305,8516142,,46,0.052174,2.553623,2.9,2,7,4.5,4,2,1
306,8569908,,62,0.037017,2.58752,2.8,8,12,10,4,2,2
307,892028,,56,0.041558,2.474675,2.7,2,4,3,4,2,0
308,932792,,102,0.022714,2.635993,2.8,4,9,8,5,3,0
309,9352632,,34,0.065954,2.463458,3,3,3,3,3,1,2
310,9352642,,97,0.022552,2.60567,3,2,4,3,4,2,3
311,9447989,,58,0.044162,2.6219,2.6,8,12,10,5,3,2
312,9571866,,17,0.183824,2.316176,3,0,3,1.5,4,2,1
313,9654869,,81,0.035185,2.61821,2.8,0,26,23,7,5,1
314,9749638,,53,0.044267,2.53701,2.6,9,12,10.5,4,2,3
315,9762167,,64,0.035714,2.61756,3,2,5,3.5,4,2,3
316,9904363,,67,0.03166,2.505654,2.9,4,6,5,3,2,0
317,9935357,,12,0.30303,2.045455,2.8,11,20,15.5,4,2,0
